排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
122,strict895_0154,第一轮候补,跨大领域老药新用,Fludarabine Phosphate,CHEMBL1096882,肿瘤,Oncology,KCNK3,Potassium channel subfamily K member 3,肺动脉高压,pulmonary arterial hypertension,心血管,64.26503418496569,0.54970104,15,0.5006681859984753,离子通道功能,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,KCNK3/TASK-1 肺动脉高压、心衰/左室肥厚模型,机制中等：KCNK3 与KCNK3/TASK-1 肺动脉高压、心衰/左室肥厚模型可连通，但药物-KCNK3 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,KCNK3 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,KCNK3 心血管疾病和电生理 assay 都明确，Fludarabine 细胞毒性/核苷效应需严控。
123,strict895_0091,第一轮候补,跨大领域老药新用,Lubiprostone,CHEMBL1201134,胃肠/消化,Gastroenterology,JAK3,Tyrosine-protein kinase JAK3,皮炎,dermatitis,皮肤/免疫,64.18657411761757,0.44664273,33,0.3856257800422626,激酶生化/细胞,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,溃疡性结肠炎/克罗恩病和银屑病；可用 RA PBMC/JAK3-STAT 模型作免疫 readout,机制中等：JAK3 与溃疡性结肠炎/克罗恩病和银屑病可连通，但药物-JAK3 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,JAK3 重组 kinase IC50/ATP 竞争实验；细胞中用 cytokine 刺激后的 pSTAT readout、NanoBRET/CETSA 确认 target engagement。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,JAK3-免疫疾病轴清楚，但 Lubiprostone 到 JAK3 只来自预测且 rank 偏后；先做靶点结合再谈疾病模型。
124,strict895_0087,第一轮候补,跨大领域老药新用,Rilpivirine Hydrochloride,CHEMBL1628504,感染性疾病,Infectious Disease,PRKCB,Protein kinase C beta type,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,63.86805343787859,0.45179585,8,0.3607813527946042,激酶生化/细胞,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,PRKCB 相关 CLL、CML、DLBCL/PKC 信号模型。,Rilpivirine Hydrochloride -> PRKCB（Protein kinase C beta type）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
125,strict895_0115,第一轮候补,跨大领域老药新用,Obeticholic Acid,CHEMBL266340,其他,Other,BCL2,Apoptosis regulator Bcl-2,B细胞慢性淋巴细胞白血病,B-cell chronic lymphocytic leukemia,血液肿瘤/血液病,63.68696554314289,0.52599865,5,0.7416429130285728,离子通道功能,keep_medium,medium,否,否,否,上市后文献有新靶点线索,3,3,41587401;41389630;38302816,41587401;41389630;38302816,BCL2 依赖的 CLL/AML/淋巴瘤,机制中等：BCL2 与BCL2 依赖的 CLL/AML/淋巴瘤可连通，但药物-BCL2 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,BCL2-BH3 peptide TR-FRET/FP displacement、SPR/DSF；BCL2 依赖细胞中做 BH3 profiling、caspase activation 和 rescue。,BCL-XL/MCL1/BCL-W 选择性、BH3 mimetic 阳性对照、线粒体毒性、caspase 非特异激活 counterscreen。,BCL2 疾病具体且可用 BH3 displacement 验证；原 ion-channel lane 明显不合适，需要改为 BCL2-BH3 结合/线粒体 priming。
126,strict895_0272,第一轮候补,同领域新靶点/新病种探索,Cyclobenzaprine Hydrochloride,CHEMBL1200636,神经/精神,Neurology/Psychiatry,SCN2A,Sodium channel protein type 2 subunit alpha,双相障碍,bipolar disorder,神经/精神,63.67216550808544,0.44876504,4,0.7139169025815748,离子通道功能,keep_medium,中,是,否,否,PubMed pair审计未见明确报道,0,0,,,精神分裂症、双相障碍的神经元兴奋性/钠通道模型,机制审计：中等优先保留。SCN2A 可影响神经元钠电流和兴奋性，能解释精神分裂症/双相签名，但精神心理表型易被镇静或抗胆碱效应混杂。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,SCN2A 手动/自动膜片钳剂量反应；必要时用电流-电压曲线、洗脱可逆性和离子通量 readout 确认直接通道调节。,hERG/KCNH2、SCN5A、同亚型通道panel、膜扰动、细胞毒性和非特异电生理伪影反筛。,建议保留到二线验证，先做正交 TE 和反筛后再决定疾病模型。 审计依据：ConPLEx=0.449/rank4；literature_status=unreported_in_local_pubmed_audit；同原适应症方向风险；离子通道实验成本较高，需安全性通道反筛；疾病方向接近原适应症，老药新用 novelty 较弱。
127,strict895_0032,第一轮候补,跨大领域老药新用,Netupitant,CHEMBL206253,肿瘤,Oncology,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,63.54111647143969,0.32994515,33,0.6434226431750978,酶/表观遗传生化,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,心肌肥厚、心衰失代偿、动脉粥样硬化炎症/内皮模型；可参考 SHP2-RAS/MAPK。,Netupitant -> PTPN11（Tyrosine-protein phosphatase non-receptor type 11）：PTPN11/SHP2 连接 RAS/MAPK 与炎症/心血管重塑，疾病故事可成立；但磷酸酶类假阳性较多，需正交结合与细胞通路验证。,中高：SHP2 allosteric/磷酸酶 assay 和 pERK 细胞 readout 可做，但需排除氧化还原/螯合类假阳性。,SHP2/PTPN11 磷酸酶活性和 allosteric activation assay，SPR/DSF，细胞 pERK/pSTAT 或 RAS-GTP readout。,PTP 家族选择性、金属螯合/氧化还原假阳性、MEK/RAF 直接作用、细胞毒性。,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
128,strict895_0062,第一轮候补,跨大领域老药新用,Givinostat Hydrochloride,CHEMBL1213492,肿瘤,Oncology,KDR,Vascular endothelial growth factor receptor 2,肝细胞癌,hepatocellular carcinoma,实体瘤,63.531797990242,0.31317872,8,0.6777833062329777,酶/表观遗传生化,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,HCC、肝硬化血管生成/肝纤维化模型；需区分 KDR 与 HDAC 主效应。,Givinostat Hydrochloride -> KDR（Vascular endothelial growth factor receptor 2）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 本地共现层面较干净，仍需人工排重。
129,strict895_0217,第一轮候补,跨大领域老药新用,Atazanavir Sulfate,CHEMBL1200678,感染性疾病,Infectious Disease,MMP3,Stromelysin-1,乳腺癌,breast cancer,实体瘤,63.43198348556351,0.5120554,3,0.2858659326917113,酶/表观遗传生化,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,乳腺癌/结直肠癌侵袭和基质降解模型,MMP3 介导基质降解和肿瘤侵袭，机制清晰但蛋白酶选择性和表型归因需控制。,高：可用重组蛋白或过表达细胞建立直接剂量反应，并用细胞靶点 readout 交叉确认。,重组 MMP3 荧光底物蛋白酶 assay 测 IC50，细胞基质降解/侵袭 readout 作为二级验证。,同家族酶 panel、底物/辅因子干扰、聚集体或氧化还原伪阳性、细胞毒性和通用荧光干扰反筛。,"MMP3 与肿瘤侵袭/基质降解一致，蛋白酶 assay 可直接做；OT 较低需谨慎。 评分：ConPLEx=0.512, rank=3, OT=0.41, TxGNN=0.89, CREEDS=16；本地共现未报告。"
130,strict895_0498,第一轮候补,跨大领域老药新用,Obeticholic Acid,CHEMBL266340,其他,Other,RAF1,RAF proto-oncogene serine/threonine-protein kinase,扩张型心肌病,dilated cardiomyopathy,心血管,63.36496023861767,0.28168774,90,0.6912384757904153,激酶生化/细胞,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,RAF1-MAPK介导心肌肥厚和扩张型心肌病模型,机制中等：RAF1/MAPK与心肌肥厚关联明确，Obeticholic Acid代谢药背景可提供非肿瘤新用空间；rank90降低可信度。,中高：RAF1/pERK assay成熟；需核受体/FXR间接效应反筛。,RAF1/MEK级联激酶活性或结合Kd，细胞用pMEK/pERK和CETSA/NanoBRET验证target engagement。,BRAF/ARAF/MEK/ERK及广谱kinase panel，ATP竞争、细胞毒性和自噬/溶酶体非特异效应反筛。,可保留为心肌肥厚低成本验证，不作为最高优先。
131,strict895_0259,第一轮候补,跨大领域老药新用,Lopinavir,CHEMBL729,感染性疾病,Infectious Disease,KLK3,Prostate-specific antigen,前列腺癌,prostate cancer,实体瘤,63.269194079302224,0.33410957,3,0.6226998879689877,酶/表观遗传生化,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,前列腺癌 PSA/KLK3 分泌、侵袭和雄激素轴模型,KLK3/PSA 是前列腺癌相关丝氨酸蛋白酶，机制应聚焦前列腺癌而非泛肿瘤。,高：可用重组蛋白或过表达细胞建立直接剂量反应，并用细胞靶点 readout 交叉确认。,重组 KLK3 荧光底物蛋白酶 assay 测 IC50，细胞基质降解/侵袭 readout 作为二级验证。,同家族酶 panel、底物/辅因子干扰、聚集体或氧化还原伪阳性、细胞毒性和通用荧光干扰反筛。,"KLK3/PSA 可聚焦前列腺癌，蛋白酶 assay 直接；肿瘤外推到乳腺/黑色素瘤不宜优先。 评分：ConPLEx=0.334, rank=3, OT=0.67, TxGNN=0.64, CREEDS=7；文献未审计。"
132,strict895_0838,第一轮候补,同领域新靶点/新病种探索,Bicalutamide,CHEMBL409,肿瘤,Oncology,AKT1,RAC-alpha serine/threonine-protein kinase,乳腺癌,breast carcinoma,实体瘤,63.064718792884605,0.50478417,63,0.6250986130170937,激酶生化/细胞,keep_medium,medium,是,否,否,上市后文献有新靶点线索,2,1,29749659;17635910,29749659,"优先聚焦乳腺癌；备选模型为结肠癌、十二指肠癌。child OT 最强指向乳腺癌（score=0.625, genetic=0.000, clinical=0.000, literature=0.992）。","机制中等：Bicalutamide -> AKT1（RAC-alpha serine/threonine-protein kinase）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向乳腺癌（score=0.625, genetic=0.000, clinical=0.000, literature=0.992）；ConPLEx=0.505/rank63。 主要限制：drug-target rank 偏后；novelty 受原适应症/同类药机制影响。",中高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,AKT1 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在乳腺癌模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,中优先保留：靶点-病种轴可检验，但药物-靶点或疾病具体性仍需正交验证；child OT score >=0.55；ConPLEx rank 偏后；novelty 偏弱。
133,strict895_0584,第一轮候补,同领域新靶点/新病种探索,Bicalutamide,CHEMBL409,肿瘤,Oncology,DNMT3A,DNA (cytosine-5)-methyltransferase 3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,63.0,0.5402651,32,0.8577261614555013,酶/表观遗传生化,keep_medium,中高,是,否,否,上市后文献有新靶点线索,3,3,37188336;29383141;21990314,37188336;29383141;21990314,AML/克隆性造血（Open Targets child 强）、结直肠癌表观遗传模型,机制审计：中等优先保留。DNMT3A 与 AML/克隆性造血有强遗传、临床和文献证据，是本块最清楚的 child OT 疾病锚点之一。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 acute myeloid leukemia（score=0.858）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,DNMT3A methyltransferase 酶活、SAM 竞争/结合和 5mC/靶位点甲基化 readout；AML 细胞做长期表观遗传效应。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=acute myeloid leukemia(0.858), ConPLEx=0.540/rank32; literature_status=reported_post_approval_old_drug_new_target. 主要风险：同标签或同治疗方向 novelty 折扣；疾病方向接近原适应症，老药新用 novelty 较弱。"
134,strict895_0636,第一轮候补,同领域同靶点家族扩展,Pazopanib Hydrochloride,CHEMBL477772,肿瘤,Oncology,EGFR,Epidermal growth factor receptor,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,63.0,0.5651659,12,0.8525670184292347,激酶生化/细胞,keep_medium,medium,是,是,否,上市后文献有新靶点线索,58,56,41459979;41163837;39434726,41459979;41163837;39434726,EGFR 突变/依赖 NSCLC；头颈鳞癌；少突胶质细胞瘤探索,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.853（genetic=0.746, clinical=0.996, literature=1.000），EGFR-疾病证据为强。Pazopanib Hydrochloride→EGFR 主要由 ConPLEx=0.565/rank=12 支撑；EGFR-NSCLC child OT 非常强，Pazopanib 作为多靶点 kinase 药物可中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.565, rank=12; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：EGFR 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 EGFR 突变/依赖 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 EGFR 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,EGFR-NSCLC child OT 非常强，Pazopanib 作为多靶点 kinase 药物可中优先级验证。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
135,strict895_0403,第一轮候补,跨领域但同靶点家族扩展,Fostamatinib Disodium,CHEMBL2103830,免疫/炎症,Immunology/Inflammation,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,62.947933199999994,0.30602714,14,0.8354100756215777,激酶生化/细胞,keep_medium,medium,否,是,否,PubMed pair审计未见明确报道,0,0,,,FLT3突变AML、CLL/CML信号模型,机制中等可信：FLT3与FLT3突变AML、CLL/CML信号模型匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,FLT3 kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pFLT3/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；存在同靶点家族/同药理类别泄漏风险。
136,strict895_0661,第一轮候补,同领域新靶点/新病种探索,Bicalutamide,CHEMBL409,肿瘤,Oncology,CDK6,Cyclin-dependent kinase 6,乳腺癌,breast carcinoma,实体瘤,62.73219757559252,0.54905325,19,0.6103198922485568,激酶生化/细胞,keep_medium,medium,是,否,否,上市后文献有新靶点线索,2,2,41219649;32297439,41219649;32297439,CDK6 依赖 HR+乳腺癌；AML/ALL；淋巴瘤,"child Open Targets 最佳疾病为 breast carcinoma，score=0.610（genetic=0.000, clinical=0.874, literature=0.696），CDK6-疾病证据为较强。Bicalutamide→CDK6 主要由 ConPLEx=0.549/rank=19 支撑；Bicalutamide-CDK6 ConPLEx 尚可且 disease evidence 强，但同为肿瘤/内分泌背景。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.549, rank=19; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：CDK6 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 CDK6 依赖 HR+乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 CDK6 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,Bicalutamide-CDK6 ConPLEx 尚可且 disease evidence 强，但同为肿瘤/内分泌背景。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=疾病方向接近原适应症，老药新用 novelty 较弱
137,strict895_0040,第一轮候补,跨大领域老药新用,Doravirine And Islatravir,CHEMBL2364608,感染性疾病,Infectious Disease,RAF1,RAF proto-oncogene serine/threonine-protein kinase,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,62.63169118813735,0.37818822,36,0.4584995965098081,激酶生化/细胞,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,RAF1/MAPK 依赖 AML、黑色素瘤或 RAS/RAF 驱动实体瘤模型；组合药需拆分贡献。,Doravirine And Islatravir -> RAF1（RAF proto-oncogene serine/threonine-protein kinase）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
138,strict895_0253,第一轮候补,跨领域但同靶点家族扩展,Infigratinib Phosphate,CHEMBL1852688,肿瘤,Oncology,KDR,Vascular endothelial growth factor receptor 2,肝细胞癌,hepatocellular carcinoma,实体瘤,62.25012439024199,0.5896098,7,0.6777833062329777,酶/表观遗传生化,keep_medium,medium,否,是,否,上市前或窗口外报道,1,0,33396726,,肾小球硬化、肾血管内皮损伤或肾纤维化中的 VEGFR2/KDR 模型,KDR/VEGFR2 是血管生成和内皮功能核心受体，肿瘤和肾血管病机制明确但同家族 kinase 风险高。,高：可用重组蛋白或过表达细胞建立直接剂量反应，并用细胞靶点 readout 交叉确认。,重组 KDR 酶学/ADP-Glo 或磷酸化底物 assay 测 IC50，细胞中检测 p-KDR 或下游 pERK/pAKT/pSTAT readout。,近缘 kinase/受体 panel、ATP 竞争、下游通路非特异激活、细胞毒性和母药已知主靶点反筛。,"KDR 肾小球硬化/肾血管模型合理，但 Infigratinib kinase-family 选择性和抗血管生成毒性需控制。 评分：ConPLEx=0.590, rank=7, OT=0.73, TxGNN=0.90, CREEDS=2；同家族风险；文献未审计。"
139,strict895_0369,第一轮候补,跨领域但同靶点家族扩展,Fostamatinib Disodium,CHEMBL2103830,免疫/炎症,Immunology/Inflammation,PDGFRA,Platelet-derived growth factor receptor alpha,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,61.98111133333333,0.3067381,13,0.8245011238749937,酶/表观遗传生化,keep_medium,medium,否,是,否,PubMed pair审计未见明确报道,0,0,,,PDGFRA突变GIST、胶质瘤、肉瘤模型,机制中等可信：PDGFRA与PDGFRA突变GIST、胶质瘤、肉瘤模型匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,PDGFRA kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pPDGFRA/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,存在同靶点家族/同药理类别泄漏风险。
140,strict895_0522,第一轮候补,跨大领域老药新用,Doravirine,CHEMBL2364608__DORAVIRINE,未知,,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO,乳腺癌,breast cancer,实体瘤,61.910332033335294,0.32721317,57,0.5766096637037913,酶/表观遗传生化,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,FTO/m6A依赖乳腺癌和甲状腺乳头状癌模型,机制中等偏强：FTO在肿瘤m6A调控中有明确可测机制，Doravirine单药背景较干净，具备新颖性。,高：FTO LC-MS/抗体readout成熟；需ALKBH5和双加氧酶panel反筛。,FTO m6A/m6Am去甲基化LC-MS或抗体readout，细胞看m6A水平和FTO靶基因。,ALKBH5、TET/JMJC双加氧酶panel，Fe2+/2-OG螯合、氧化还原和细胞毒性反筛。,保留为表观转录组候选，优先单药FTO酶活。
141,strict895_0531,第一轮候补,跨大领域老药新用,Atazanavir Sulfate,CHEMBL1200678,感染性疾病,Infectious Disease,KLK3,Prostate-specific antigen,前列腺癌,prostate cancer,实体瘤,61.877684145968885,0.3042915,78,0.6226998879689877,酶/表观遗传生化,keep_medium,中,否,否,否,PubMed pair审计未见明确报道,0,0,,,KLK3/PSA阳性前列腺癌和分泌蛋白酶模型,机制中等：Atazanavir为HIV蛋白酶抑制剂，KLK3为前列腺癌相关丝氨酸蛋白酶，跨蛋白酶假说可测且病种具体。,高：KLK3酶活/结合实验可行；需KLK家族选择性和底物干扰反筛。,重组KLK3/PSA蛋白酶底物活性、SPR/DSF结合和前列腺癌细胞分泌PSA readout。,KLK2/4、胰蛋白酶样蛋白酶、MMP/丝氨酸蛋白酶panel，荧光底物干扰和聚集体反筛。,可保留，优先无细胞KLK3活性和前列腺癌PSA readout。
142,strict895_0068,第一轮候补,跨大领域老药新用,Ozanimod Hydrochloride,CHEMBL3707247,神经/精神,Neurology/Psychiatry,NR3C1,Glucocorticoid receptor,银屑病,psoriasis,皮肤/免疫,60.96707087626924,0.39856422,13,0.6089218048712254,核受体/转录因子 reporter,keep_medium,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,特应性/接触性皮炎、痤疮、银屑病角质形成细胞/免疫模型。,Ozanimod Hydrochloride -> NR3C1（Glucocorticoid receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 PubMed pair审计未见明确报道，详见PubMed计数/PMID列。
143,strict895_0579,第一轮候补,同领域同靶点家族扩展,Selpercatinib,CHEMBL4559134,肿瘤,Oncology,AKT2,RAC-beta serine/threonine-protein kinase,乳腺癌,breast cancer,实体瘤,60.89599520096104,0.56475073,22,0.5731553422649348,激酶生化/细胞,keep_medium,中高,是,是,否,PubMed pair审计未见明确报道,0,0,,,乳腺癌（Open Targets child 优先）、结直肠癌；PI3K/AKT 依赖实体瘤,机制审计：中等优先保留。AKT2 是 PI3K/AKT 生存和代谢轴成员，乳腺癌 child OT 有临床和文献支持，结直肠癌可作次级实体瘤模型。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 breast cancer（score=0.573）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,AKT2 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=breast cancer(0.573), ConPLEx=0.565/rank22; literature_status=unreported_in_local_pubmed_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
