candidate_id,pair_id,modeled_entity_name,gene_symbol,origin_summary,recommended_disease,verdict,verdict_label,summary,support,concern,next_step,evidence_scope,source_notes,source_urls,search_log
C384-106,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,rilpivirine,FYN,符合初治/病毒载量≤100000条件HIV1联合ARV；稳定病毒抑制者与cabotegravir短期口服联合；年龄体重及无耐药/失败条件依剂型,cancer,CONDITIONAL,有条件保留,rilpivirine–FYN可与YES1作为小规模选择性比较候补。,排名5、阳性近邻0.338。,精确检索未确认FYN直接测量；不能由同家族或AURKA研究自动迁移。,先追已发现原药激酶panel，缺FYN时才配合YES1验证，避免两对都作独立强证据。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""rilpivirine\"" \""FYN\"""", ""source"": ""web search"", ""outcome"": ""未获得精确FYN测量；原药其他激酶研究仅背景。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-107,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,lenalidomide,HDAC2,MM治疗/移植后维持；5q缺失MDS输血依赖贫血；MCL；限定FL/MZL联合rituximab,mycosis fungoides,CONDITIONAL,有条件保留,lenalidomide–HDAC2先核直接性后保留。,阳性近邻0.414，排名5。,原始搜索为CRBN/NCOR2/HDAC网络及联合治疗，不是母药直接HDAC2；蕈样肉芽肿来自合并节点。,核近邻结构和母药酶活，避免将蛋白互作或衍生物当结合。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC8643354/""]","[{""query"": ""\""lenalidomide\"" \""HDAC2\"""", ""source"": ""web search"", ""outcome"": ""原始研究是耐药/蛋白互作机制，非lenalidomide直接HDAC2测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-108,UTNUDOFZCWSZMS-YFHOEESVSA-N__CHEMBL1929,teriflunomide,XDH,复发型MS，含临床孤立综合征/复发缓解及活动继发进展型,lymphoma,CONDITIONAL,有条件保留,teriflunomide–XDH可作为成熟酶体系候补。,排名5、近邻0.306，MS到淋巴瘤有新方向。,检索腈类药/供应目录把DHODH药和XO药并列，非本药XDH证据。,确认模型是teriflunomide而非leflunomide，核XDH/XO状态，直接酶活后再SPR。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""teriflunomide\"" \""xanthine oxidase\"""", ""source"": ""web search"", ""outcome"": ""不同酶药物并列，没有本药XDH直接端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-109,HFNKQEVNSGCOJV-OAHLLOKOSA-N__CHEMBL3310,ruxolitinib,HDAC11,骨髓纤维化、真性红细胞增多症；急/慢性GVHD；局部特应性皮炎和非节段白癜风,myelodysplastic syndrome,CONDITIONAL,有条件保留,ruxolitinib–HDAC11先核混合药效团来源，再决定实验。,排名6、阳性近邻0.414高于阴性0.156。,BindingDB命中的是基于ruxolitinib和vorinostat设计双抑制剂，不能当母药；疾病研究亦用分别两类药。,查最近邻是否新增HDAC锌结合端，纯母药酶活阳性后再投入SPR。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://www.bindingdb.org/rwd/jsp/dbsearch/Summary_ki.jsp?energyterm=kJ%2Fmole&entryid=50000428&icunit=nM&ki_result_id=50782026&kiunit=nM&reactant_set_id=50782026""]","[{""query"": ""\""ruxolitinib\"" \""HDAC11\"""", ""source"": ""web search"", ""outcome"": ""数据库片段明确原文为双靶点衍生物研究，非ruxolitinib母药端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-110,NTJOBXMMWNYJFB-UHFFFAOYSA-N__CHEMBL205,amisulpride,CA2,美国 BARHEMSYS 静脉用：成人术后恶心呕吐预防/治疗（预防失败者限不同类止吐药）；法国 ANSM Solian 口服：精神分裂症治疗,Tourette syndrome,CONDITIONAL,有条件保留,amisulpride–CA2先核正负近邻冲突，保留为解析候补。,阳性近邻0.530提供结构线索。,阴性近邻也0.530，不能只报阳性；精确检索没有直接CA2测量，Tourette方向仍是假说。,核两个近邻身份端点浓度，含锌CA2活性与SPR一致才升级。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""amisulpride\"" \""carbonic anhydrase II\"""", ""source"": ""web search"", ""outcome"": ""未获得精确直接关系。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-111,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,lisinopril,NR3C2,高血压、收缩性心衰辅助、急性心梗降低死亡；卒中风险降低属CV收益,stroke disorder,DEFER,建议后置,lisinopril–NR3C2后置于同药REN候补。,卒中遗传关联及阳性近邻0.372。,检索是ACE药与MR拮抗剂并列/联合研究，不是lisinopril结合MR；原降压获益可解释疾病关联。,已有MR-LBD体系才追加，竞争及功能必须独立确认。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pubmed.ncbi.nlm.nih.gov/27110493/""]","[{""query"": ""\""lisinopril\"" \""mineralocorticoid receptor\"""", ""source"": ""web search"", ""outcome"": ""原始动物研究为ACE药与MR治疗背景，非直接受体测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-112,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1974,glasdegib,FLT3,联合低剂量cytarabine治疗高龄或不适于强化诱导的新诊断AML,acute myeloid leukemia with mutated NPM1,CONDITIONAL,有条件保留,glasdegib–FLT3保留但先核精确数据与新颖性。,NPM1突变AML有体细胞关联；同原AML领域可解释机制。,搜索多为FLT3分层/联用，另聚合页面有Kd片段但未能确认属于glasdegib；不可直接采用数值。,优先核原始FLT3 panel的药物身份和突变；确认已有直接记录则改为机制确认而非全新关系。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://clinicaltrials.ucsf.edu/trial/NCT04231851""]","[{""query"": ""\""glasdegib\"" \""FLT3\"" binding"", ""source"": ""web search"", ""outcome"": ""试验页面支持FLT3状态为入组/合并治疗背景，不提供glasdegib直接亲和。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-113,HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,amlodipine,CA12,高血压；稳定或血管痉挛性心绞痛及限定冠心病,heart failure,CONDITIONAL,有条件保留,amlodipine–CA12可作为成熟CA体系候补，心衰意义需另论。,阳性近邻0.328，心衰有部分遗传关联。,精确检索没有直接测量，排名16；不能用同系列levamlodipine或CA7信号替代本对。,核混合/单异构体身份及CA12胞外域，阳性后补同工酶选择性。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""amlodipine\"" \""carbonic anhydrase XII\"""", ""source"": ""web search"", ""outcome"": ""未获得精确配对原始端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-114,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL2007,glasdegib,PDGFRA,联合低剂量cytarabine治疗高龄或不适于强化诱导的新诊断AML,non-small cell lung carcinoma,DEFER,建议后置,glasdegib–PDGFRA建议后置于同药更靠前机制候补。,NSCLC体细胞关联。,排名17、近邻0.313，搜索为不同靶向药目录，未得直接PDGFRA作用。,已有PDGFRA域与参照才少量追加，核野生型/突变以避免错配。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""glasdegib\"" \""PDGFRA\"""", ""source"": ""web search"", ""outcome"": ""目录和其他药共现，无本配对直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-115,DKYWVDODHFEZIM-UHFFFAOYSA-N__CHEMBL235,ketoprofen,PPARG,RA、OA症状缓解；疼痛及原发性痛经,frozen shoulder,DEFER,建议后置,ketoprofen–PPARG建议后置。,冻结肩遗传关联和阳性近邻0.34。,排名20，搜索动物实验ketoprofen多作镇痛辅助，不是PPARG激动；原止痛用途已可解释部分场景。,先取得纯受体结合和转录方向，不能以镇痛效果作为新机制证明。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""ketoprofen\"" \""PPARG\"""", ""source"": ""web search"", ""outcome"": ""动物镇痛辅助及其他PPARG药资料，无本药直接端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-116,BFSMGDJOXZAERB-UHFFFAOYSA-N__CHEMBL325,dabrafenib,HDAC1,BRAF突变黑色素瘤（含辅助）、NSCLC、间变甲状腺癌及限定实体瘤/低级别胶质瘤；多用途要求联合trametinib,non-small cell lung carcinoma,DEFER,建议后置,dabrafenib–HDAC1先后置：高相似度很可能受双靶点衍生物支持影响，须逐结构核实。,排名1、近邻0.645值得追来源。,原始双BRAF/HDAC研究中dabrafenib部分朝溶剂，HDAC作用属于改造化合物；本药logP约5.36也需实测。,核本地最近邻是否即改造物；无纯母药酶活支持前不当高置信首批。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC9354042/""]","[{""query"": ""\""dabrafenib\"" \""HDAC1\"""", ""source"": ""web search"", ""outcome"": ""原始研究片段明确14b为双靶点改造物及HDAC1对接方式，不证母药结合。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-117,RMMXLENWKUUMAY-UHFFFAOYSA-N__CHEMBL1944,telmisartan,MME,高血压及不能使用ACE抑制剂患者CV风险降低,congestive heart failure,CONDITIONAL,有条件保留,telmisartan–MME先解决溶解性，再保留机制候补。,排名1、阳性近邻0.420；心衰有应用动机。,原始文献是thiorphan与telmisartan联用，不是本药直接NEP抑制；计算logP7.26使实际可测浓度成为关键。,先测工作液与参考表面背景，再用MME酶活和SPR交叉验证。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pubmed.ncbi.nlm.nih.gov/30769114/""]","[{""query"": ""\""telmisartan\"" \""neprilysin\"" inhibition"", ""source"": ""web search"", ""outcome"": ""原始动物摘要为独立NEP抑制剂与ARB联用，非telmisartan直接MME。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-118,HHZIURLSWUIHRB-UHFFFAOYSA-N__CHEMBL3972,nilotinib,GART,Ph+CML慢性期初治成人/儿科；既往imatinib等耐药/不耐受成人慢性/加速期及儿科慢性期；年龄/制剂限制,lung cancer,DEFER,建议后置,nilotinib–GART建议后置。,排名4、阳性近邻0.505。,阴性近邻也0.489、logP约6.36；精确检索无直接测量，GART多功能域未知，肺癌关联不足以抵消体系风险。,先确认预测对应GART哪一催化域及可溶浓度，酶活有支持再测结合。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""nilotinib\"" \""GART\"""", ""source"": ""web search"", ""outcome"": ""未定位精确配对原始端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-119,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL2041,bazedoxifene,RET,美国结合雌激素复方治疗绝经血管舒缩症状/预防骨质疏松；欧盟单药治疗绝经后骨质疏松,obesity disorder,DEFER,建议后置,bazedoxifene–RET建议后置。,肥胖遗传关联与近邻0.390。,搜索是其他激酶药及ER背景，未证RET；logP约6.33，且原单药/复方用途需区分。,先确认纯母体工作液及RET域；直接作用与肥胖方向均需验证。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""bazedoxifene\"" \""RET\"" kinase"", ""source"": ""web search"", ""outcome"": ""未获精确RET直接关系，返回其他药/ER资料。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-120,GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL2041,raloxifene,RET,绝经后骨质疏松治疗/预防；绝经后骨质疏松或高风险女性浸润乳腺癌风险降低；不是乳腺癌治疗/复发或非浸润癌预防,obesity disorder,DEFER,建议后置,raloxifene–RET建议后置，新增网络支持仍主要是计算或表达。,有原始对接研究将RET作为目标，能提出实验问题。,对接不是亲和力；RET mRNA下降也非结合，logP约6.08且目标肥胖与对接骨肉瘤不同。,先核工作液及RET激酶域，直接酶活/结合阳性才追加疾病验证。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC10026319/""]","[{""query"": ""\""raloxifene\"" \""RET\"" kinase"", ""source"": ""web search"", ""outcome"": ""原始研究为计算对接，未提供本药直接RET实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-121,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,diazoxide,CSF1R,高胰岛素性低血糖（含胰岛腺瘤/癌及胰外肿瘤相关）；可术前暂时及术后持续低血糖支持,pancreatic neuroendocrine tumor,DEFER,建议后置,diazoxide–CSF1R建议后置；胰岛素瘤低血糖用途不能转作CSF1R抗肿瘤证据。,本地排名3，有胰腺神经内分泌瘤关联和体细胞证据，但结合近邻支持有限。,检索的实验使用Csf1r-GFP报告小鼠细胞观察炎症处理；CSF1R在此是细胞标记，不是diazoxide直接靶点检测。原药KATP机制也不等于CSF1R抑制。,若保留，先确认纯CSF1R构建及激酶活性筛查，再考虑SPR；不得把纠正低血糖解释为肿瘤抑制。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://diposit.ub.edu/server/api/core/bitstreams/6f19483d-c63a-4f02-844a-fcdbd97d65f6/content""]","[{""query"": ""\""diazoxide\"" \""CSF1R\"""", ""source"": ""web search"", ""outcome"": ""找到Csf1r-GFP细胞实验检索片段，未找到直接diazoxide–CSF1R结合测量；未阅读全文。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-122,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,olanzapine,DYRK1A,精神分裂症、双相I躁狂/混合/维持及相关急性激越；与fluoxetine联合双相抑郁/难治抑郁,autism spectrum disorder,DEFER,建议后置,olanzapine–DYRK1A目前缺乏足以优先投入的直接支持。,本地自闭症疾病关联有遗传证据，排名5，可作为机制探索线索。,阳阴近邻接近；专利将olanzapine列为可联用药，而DYRK1A抑制剂是另一组化合物，不能据此认定母药抑制DYRK1A。疾病遗传关联也没有确定所需干预方向。,先核对DYRK1A直接筛选数据及自闭症相关方向；有匹配构建的活性支持后再提升顺位。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://patents.google.com/patent/WO2024220485A9/en""]","[{""query"": ""\""olanzapine\"" \""DYRK1A\"""", ""source"": ""web search"", ""outcome"": ""检索到双DYRK1A/5HT2作用化合物专利，olanzapine为额外治疗药物列举；未取得其直接DYRK1A实验结果。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-123,AQNDDEOPVVGCPG-UHFFFAOYSA-N__CHEMBL2326,esmolol,CA7,短期室上速含房颤/房扑心室率控制、非代偿窦速及围手术期心动过速/高血压控制,open-angle glaucoma,CONDITIONAL,有条件保留,esmolol–CA7可作为少量酶学探索，暂不视为已获图谱验证的结合候选。,本地排名7，阳性近邻0.358高于阴性0.275；CA7提供可用酶学正交读出的靶点。,直接配对检索未找到可核查测量；降眼压相关β阻断机制不能转化为CA7结合证据，esmolol的溶液稳定性与实际母药身份须核对。,先确认化合物在实验缓冲液中的稳定性，用CA7酶活与阳性对照验证；初步支持后再配置浓度梯度SPR。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""esmolol\"" \""carbonic anhydrase VII\"""", ""source"": ""web search"", ""outcome"": ""未找到可支持该精确配对的原始结合或抑制结果；一般药理名单不作为支持。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-124,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,dasabuvir,PGR,Exviera 原欧盟成人慢性丙肝治疗，须与其他药物联合，具体 HCV 基因型及肝病状态按原产品信息,cancer,DEFER,建议后置,dasabuvir–PGR应后置，现有癌症假设和网络共现不足以形成直接机制依据。,本地排名8，阳性近邻0.301高于阴性0.220；原药NS5B用途与PGR确属不同机制。,临床记录中dasabuvir组合与孕激素受体调节剂分别出现于用药限制，不能解释为dasabuvir结合PGR；目标疾病仅泛癌症，作用方向不清。,先定位具体PGR相关疾病及需要激动还是拮抗，核对PGR配体结合域和直接结合资料，再决定是否占用首批实验。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://www.isrctn.com/pdf/69006251""]","[{""query"": ""\""dasabuvir\"" \""progesterone receptor\"""", ""source"": ""web search"", ""outcome"": ""检索命中试验用药排除条款，dasabuvir和PGR调节剂为不同药物条目；没有获得母药PGR测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-125,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,vaborbactam,CA1,meropenem/vaborbactam复方复杂尿路感染含肾盂肾炎,congestive heart failure,CONDITIONAL,有条件保留,vaborbactam–CA1可保留为硼基化学的低成本验证，尚无母药直接依据。,本地排名9，阳性近邻0.368高于阴性0.194；硼类分子具有可供进一步核查的CA化学线索。,检索论文实际测试双苯并氧硼杂环衍生物，vaborbactam只是获批硼药背景，不能搬用衍生物活性；心衰关联缺少遗传和方向支持。,确认使用单独vaborbactam而非meropenem复方，先做CA1酶活和干扰检查，再考虑SPR复测。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC6691558/""]","[{""query"": ""\""vaborbactam\"" \""carbonic anhydrase\"""", ""source"": ""web search"", ""outcome"": ""找到Bis-benzoxaboroles碳酸酐酶抑制研究片段；实验化合物不是vaborbactam，未取得该母药CA1活性。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-126,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,metoprolol,CA7,高血压、心绞痛、心衰；tartrate标签另含急性心梗降低心血管死亡风险，按剂型适用,open-angle glaucoma,CONDITIONAL,有条件保留,metoprolol–CA7只适合有限的同家族探索，优先避免与其其他CA候选重复投入。,本地阳性近邻0.310高于阴性0.190，CA7可用酶活验证。,排名9，直接检索没有获得精确CA7测量；β受体机制和青光眼药物背景不能证明CA7结合，且同药多CA靶点消耗实验覆盖。,与该药其他CA候选合并比较优先级，先做小规模酶活；有清晰信号再分配CA7浓度梯度SPR。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""metoprolol\"" \""carbonic anhydrase VII\"""", ""source"": ""web search"", ""outcome"": ""仅检索到一般药理或CA材料，没有找到可确认的metoprolol–CA7直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-127,IAKHMKGGTNLKSZ-INIZCTEOSA-N__CHEMBL1902,colchicine,FKBP1A,痛风发作预防/治疗、家族性地中海热；LODOCO心脑血管事件及死亡风险降低,angiomyolipoma,DEFER,建议后置,colchicine–FKBP1A建议后置，避免把药物重定位表格中的相邻行当成直接关系。,本地排名9，可提出微管药物跨机制探索，但阳阴近邻接近。,检索的转录组重定位论文中FKBP1A归属podophyllotoxin行，colchicine行列出其他靶点；目标血管平滑肌脂肪瘤还是合并疾病节点，不能直接借用FKBP相关治疗机制。,先消歧疾病节点并核对FKBP1A的直接结合证据；如仍保留，采用FKBP1A配体竞争或功能读出辅助SPR。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC8206077/""]","[{""query"": ""\""colchicine\"" \""FKBP1A\"""", ""source"": ""web search"", ""outcome"": ""检索表格片段显示FKBP1A与podophyllotoxin同列，非colchicine实测靶点；结果本身属于计算重定位资料。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-128,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,macimorelin,ACE,成人生长激素缺乏诊断用途,coronary artery disorder,DEFER,建议后置,macimorelin–ACE暂后置；较高排名不能抵消阴性近邻接近和直接证据缺口。,本地排名2，阳性近邻0.385，适合在资源允许时提出新的酶活假设。,阴性近邻0.371几乎相同；检索中macimorelin与angiotensin II为不同获批肽药条目。原药是成人生长激素缺乏诊断用GHSR激动剂，不能直接推为冠心病长期治疗依据。,先核对ACE结构域和廉价酶活结果；仅在有母药直接作用支持时考虑SPR，并单独评价疾病干预方向。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC6027222/""]","[{""query"": ""\""macimorelin\"" \""angiotensin converting enzyme\"""", ""source"": ""web search"", ""outcome"": ""找到获批肽药综述片段，macimorelin与angiotensin II分别列举；未取得macimorelin–ACE直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-129,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,darunavir,FKBP1A,与ritonavir及其他抗逆转录病毒药合用治疗HIV,cancer,CONDITIONAL,有条件保留,darunavir–FKBP1A可保留少量跨领域侦察，但HIV蛋白酶药理不能直接迁移到FKBP12。,本地：结合排序4/384；阳性/阴性近邻相似度 0.336/0.224。排名靠前；检索获得FKBP12参考配体SLF的竞争结合数据库记录，可帮助核验对照。,本轮未找到darunavir直接结合FKBP1A的可核实记录；cancer过宽且没有本地遗传支持。,先确认FKBP12参考配体响应及darunavir可溶浓度；若重复SPR响应成立，再做竞争结合并细化癌症机制。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,GtoPdb检索摘录仅支持SLF–FKBP12竞争结合，不支持darunavir–FKBP12；未读原始论文全文。,"[""https://www.guidetopharmacology.org/GRAC/LigandActivityRangeVisForward?ligandId=11480""]","[{""query"": ""darunavir FKBP12 FKBP1A binding"", ""source"": ""web search"", ""outcome"": ""返回FKBP12参考配体及其他药物资料，未获得本配对直接证据"", ""access_scope"": ""SEARCH_RESULT_EXCERPTS""}]"
C384-130,GPXBXXGIAQBQNI-UHFFFAOYSA-N__CHEMBL4005,vemurafenib,PIK3CA,BRAF特定突变黑色素瘤及Erdheim-Chester病（组织细胞肿瘤）,female breast carcinoma,CONDITIONAL,有条件保留,vemurafenib–PIK3CA存在独立计算论文线索，值得有条件验证，但仍不是已证实的PI3Kα抑制剂。,本地：结合排序20/384；阳性/阴性近邻相似度 0.379/0.257。检索命中2026原始计算研究，明确将vemurafenib列为PI3Kα虚拟筛选候选；本地乳癌体细胞证据支持疾病研究问题。,论文命中的高分来自计算对接而非实测Kd；原BRAF用途和目标乳癌同属肿瘤，跨领域价值有限。,核对PI3Kα构建/调节亚基和阳性参考，测溶解度；SPR信号成立后用脂质激酶活性验证。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,读取原始计算研究搜索摘录，仅支持计算预测，不称实验验证。,"[""https://doi.org/10.1016/j.aichem.2026.100111""]","[{""query"": ""vemurafenib PIK3CA PI3K alpha inhibition binding"", ""source"": ""web search"", ""outcome"": ""命中直接配对计算论文，未取得本配对实测亲和记录"", ""access_scope"": ""SEARCH_RESULT_EXCERPTS""}]"
C384-131,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,selinexor,BRAF,当前所抓美国标签：指定既往治疗后 MM 联合 bortezomib/dexamethasone 或 dexamethasone；历史 R/R DLBCL（含由 FL 转化，≥2线后）加速批准已于2026-04-30撤回,colonic neoplasm,DEFER,建议后置,selinexor–BRAF建议后置：现有原机制与检索命中均指向XPO1，尚无BRAF直接结合桥梁。,本地：结合排序6/384；阳性/阴性近邻相似度 0.259/0.263。本地结合排序靠前，结肠肿瘤关联可产生后续机制问题。,阳性近邻不优于阴性近邻；XPO1抑制导致下游癌蛋白变化不能当BRAF靶向。,先取得BRAF生化或直接结合证据；若只有细胞通路变化，保持后置并区分BRAF野生型与突变构建。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,官方标签和原始论文搜索摘录支持XPO1及下游表达作用，不支持BRAF直接结合。,"[""https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=f6dd2682-75a6-4863-90a8-a3197f6f78a8&type=display"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC6089403/""]","[{""query"": ""selinexor BRAF direct binding inhibition"", ""source"": ""web search"", ""outcome"": ""命中XPO1机制及下游效应，未获本配对直接测量"", ""access_scope"": ""SEARCH_RESULT_EXCERPTS""}]"
C384-132,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,diltiazem,MMP12,高血压、慢性稳定/冠痉挛心绞痛；注射用于房颤/房扑心率控制及PSVT转复,stroke disorder,DEFER,建议后置,diltiazem–MMP12有卒中疾病关联，但现阶段直接结合依据薄，建议在MMP12体系成熟后作为补充。,本地：结合排序7/384；阳性/阴性近邻相似度 0.241/0.257。本地存在MMP12–卒中遗传关联；原始MMP12研究提供钙条件影响活性的实验背景。,钙通道阻断不等于直接MMP12抑制；阳性近邻略低于阴性近邻。,核对活性MMP12构建及钙/金属条件，用配套酶学先检验；避免把改变酶环境解释为特异结合。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,原始研究摘要摘录支持MMP12钙依赖背景，并非diltiazem活性证据。,"[""https://pubmed.ncbi.nlm.nih.gov/16737445/""]","[{""query"": ""diltiazem MMP12 direct inhibition binding"", ""source"": ""web search"", ""outcome"": ""获得MMP12条件研究，未获diltiazem直接关系记录"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT_EXCERPT""}]"
