drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits
methocarbamol,MUSCULOSKELETAL_CONNECTIVE,急性疼痛肌骨病症休息/物理治疗辅助缓解,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a585c87-6361-420d-e063-6294a90a1838;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=05b287d3-5004-4d8b-9ebe-a96caa2b8d89;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56090def-7caf-e916-e063-6294a90a6ac2;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1a6b7327-fd42-4de0-bd0d-2dd478502d52,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
metoprolol,CARDIOVASCULAR,高血压、心绞痛、心衰；tartrate标签另含急性心梗降低心血管死亡风险，按剂型适用,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5431c8a-d92c-489e-b63b-4b9cc8f32a1a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=621249c4-531b-4138-9bde-77a06ad7816b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a65a60c-4c0d-e89b-e063-6394a90ac689;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=565bcddd-0720-484b-9316-d8fc0dc3ffab,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
mirdametinib,ONCOLOGY;NEURO_PSYCHIATRIC,NF1伴不能完整切除症状性丛状神经纤维瘤（良性肿瘤场景，非泛癌）,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=4c41bf90-5fa7-4935-a95c-e047ea6bbf8e&type=display,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 ONCOLOGY包含良性肿瘤而非声称恶性；NF1相关场景需单列，不机械称癌→癌。
naloxone,TOXICITY;CARDIOVASCULAR,阿片抑制/过量逆转及诊断；注射标签另有感染性休克辅助升压,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8091a73d-9ecd-4578-a57b-5d85a2c5a16a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0ebc83d-2892-40de-bc0a-775ce90b30db;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=53ed164c-dd09-4ea4-e063-6294a90a2434;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5906381c-81f4-4635-867a-e56e4d629692,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
nicardipine,CARDIOVASCULAR,高血压含不能口服时短期静脉；口服慢性稳定心绞痛,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8e8611e0-7d8c-4f30-b53a-76c6588b6ef7;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=575c5dab-e832-192a-e063-6294a90a34a1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9383f1dc-0310-4c87-a8f0-48c09a85d89b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b0e2bed3-f928-43ab-a05c-275bedc9856f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
nimodipine,NEURO_PSYCHIATRIC;CARDIOVASCULAR,动脉瘤破裂蛛网膜下腔出血后减少缺血神经缺损,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e65d5108-22a2-4d87-a78d-15606f3cc9e2;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e660fa26-b5c4-4d6d-8887-9e22b6666a10;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a323ebd8-ef1b-439b-93d1-ba73a5b0127d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f829de8b-fabd-4aec-ac8d-c9aaef7be55b,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
oliceridine,NEURO_PSYCHIATRIC,需静脉阿片且替代治疗不足的重度急性疼痛,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ce167984-8b9d-40b7-84ce-d0f33fff1eaa,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
olopatadine,EYE_ENT;IMMUNE_INFLAMMATORY,过敏性眼痒/红眼缓解（所获眼用标签）,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=598156e4-f183-86f5-e063-6294a90a64df;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ef573cb9-7829-4bcb-9e4c-b26014cd94db;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=50b02d58-dd82-6d0a-e063-6294a90a28fd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9a4c58dc-aee6-441f-8081-608e4fd36193,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
oxaprozin,MUSCULOSKELETAL_CONNECTIVE;IMMUNE_INFLAMMATORY,OA、RA和幼年RA症状缓解,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e881dca6-004e-1c3e-e053-2a95a90a02ab;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=450f5941-7f10-42fe-e063-6394a90a4803;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e3fbea8c-bc0d-4dcd-a14e-a4575dceeea6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=918127f0-9f2a-4edf-a2f7-07c01aa52bb5,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
oxymorphone,NEURO_PSYCHIATRIC,替代治疗不足的需阿片镇痛疼痛，所获主要急性痛标签,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=22c7652a-aa16-4fa8-89d9-517e69059068;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dcb5b5d2-7d0a-497a-8f1e-3b96fd43320b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3f4e703a-e398-42fd-8759-e398c79955f1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=95804e72-232d-425d-b23d-a66f43bdf0c6,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
pacritinib,ONCOLOGY,严重血小板减少的中高危原发/继发骨髓纤维化,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b5ab444-0e1a-4984-99db-76ad11a298ee,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
panobinostat,ONCOLOGY,EMA复发/难治MM，联合bortezomib和dexamethasone,EXTERNAL_REVIEWED,https://www.ema.europa.eu/en/medicines/human/EPAR/farydak,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
pemigatinib,ONCOLOGY,FGFR2重排胆管癌；FGFR1重排髓系/淋巴系肿瘤,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9e1f2222-1d89-4e63-989c-ccebe2ab1eb4,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
piperacillin,INFECTION,敏感菌感染含混合感染及限定外科预防,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fac0c875-111e-4af2-d186-ed4d4ee9de59,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
pomalidomide,ONCOLOGY,MM联合dexamethasone；AIDS相关或HIV阴性Kaposi肉瘤,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3c222961-5398-4185-b2d0-defe90230094;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0c16478-1a0c-4be0-be75-cb9e4543d71a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=84678d19-fd8d-268e-2fe6-88e21195fcca;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4fcd4978-b2d1-4d1a-b239-717cddb8be1f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
pregabalin,NEURO_PSYCHIATRIC;MUSCULOSKELETAL_CONNECTIVE,糖尿病周围神经痛、带状疱疹后神经痛、脊髓损伤神经痛；癫痫辅助；纤维肌痛,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e897d7e8-2743-4512-8417-375cb11ceec6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=923745e9-17a2-a5f7-e053-2a95a90aed38;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7f29991e-3bf5-4e48-8fa3-6d4e932ed6de;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d095accf-9cea-4948-b43d-ae1b8fbce7c2,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
quetiapine,NEURO_PSYCHIATRIC,精神分裂症、双相躁狂/抑郁及维持；剂型依赖,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=711f42c5-0719-46de-81fb-3d03801b9ed9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=717b55c4-a23f-4d74-8023-0f4e14d89ec8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=227b8b2b-a238-efb4-e063-6394a90acc7e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3112a006-1c61-47f2-84f5-9a7670d09c9b,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
ramelteon,NEURO_PSYCHIATRIC,入睡困难型失眠,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a3cf917-3569-4fc1-8b81-ffecfd2de005;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57b24572-f601-b092-e063-6394a90afa53;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56d1ac8d-5131-4eed-e063-6294a90a402e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9de82310-70e8-47b9-b1fc-6c6848b99455,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
relebactam,INFECTION,imipenem/cilastatin/relebactam复方院内肺炎及限定复杂尿路/腹腔感染,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=be32f468-738b-40df-a425-591e12f65159,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 此处来源是复方整体适应症，仅作该成分既有临床使用场景；不是该成分单药疗效获批。
retapamulin,INFECTION;DERMATOLOGIC,敏感金葡菌/化脓链球菌脓疱疮外用,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9fae06b5-bbd5-400a-a7a6-3a4e238361f8,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
riluzole,NEURO_PSYCHIATRIC,ALS,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=75d68f19-4208-109e-e053-2991aa0ac857;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd432c13-389e-46b3-8891-0cf1a58800ff;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ccead445-970c-46a1-9532-2848cc2aa3b6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b117b981-476c-f9b8-e053-2995a90aee5f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
roflumilast,RESPIRATORY;DERMATOLOGIC;IMMUNE_INFLAMMATORY,口服减少限定严重COPD急性加重；外用脂溢性皮炎/银屑病及特应性皮炎,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f9e0b4a9-a227-4947-b00c-41fb18d16589;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb3781ff-5350-4f9a-b247-0b04eb0f2b92;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec1bb0d1-f38a-4080-831a-68791d1d1fdb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aaa81c1b-f63d-4e61-8bfa-9d42d92043c7,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
rucaparib,ONCOLOGY,BRCA突变复发卵巢/输卵管/原发腹膜癌维持；限定BRCA突变mCRPC,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0295d202-1cfe-7659-e063-6294a90a476e,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
sapropterin,ENDOCRINE_METABOLIC_REPRODUCTIVE,BH4反应性PKU高苯丙氨酸血症，与限制Phe饮食联合,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c4d92cce-e899-4f14-b19c-5e17f9922215;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2e13a3b5-e4df-4d5c-9b26-02a7006a7c3e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eafec3a2-4f29-4afa-8728-a62b34cefd18;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec8ea96c-8ec1-4301-a85d-d59562e548ca,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
selumetinib,ONCOLOGY;NEURO_PSYCHIATRIC,NF1伴症状性不可手术丛状神经纤维瘤（良性肿瘤场景）,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7d042c61-f28f-4ab5-ab10-d7558c0d49ff,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 ONCOLOGY包含良性肿瘤而非声称恶性；NF1相关场景需单列，不机械称癌→癌。
sonidegib,ONCOLOGY,限定局部晚期基底细胞癌,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=028312dc-d155-4fd5-8abd-6bb9f011d3cc,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
sufentanil,NEURO_PSYCHIATRIC;ENDOCRINE_METABOLIC_REPRODUCTIVE,全麻辅助镇痛/麻醉；与bupivacaine联合分娩硬膜外镇痛,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=20293943-46ff-4345-1aa4-929b4e017a25,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
talazoparib,ONCOLOGY,限定gBRCA突变HER2阴性乳癌；与enzalutamide联合HRR突变mCRPC,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=13839d4f-6acf-4ffb-a128-79df59319273;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b653221e-971f-4452-92d4-797924f1ff59,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
tapinarof,DERMATOLOGIC;IMMUNE_INFLAMMATORY,外用斑块银屑病及特应性皮炎,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9309d20f-8cd4-4c96-93fa-7f730e83c7ab,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
tecovirimat,INFECTION,人天花治疗，所获美国标签非所有正痘病毒用途,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fce826ab-4d6a-4139-a2ee-a304a913a253,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
terazosin,RENAL_URINARY;CARDIOVASCULAR,症状性BPH；高血压,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a95be60-b242-9183-e063-6394a90a89e6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=83bf40fa-6ae1-4811-8dc1-e8c0bcd63d78;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57125b47-2156-181c-e063-6394a90ad763;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b77a4a38-edb1-412e-97af-d49e862b32c1,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
thalidomide,ONCOLOGY;IMMUNE_INFLAMMATORY;DERMATOLOGIC;INFECTION,新诊断MM联合dexamethasone；麻风结节性红斑皮肤表现急性治疗及复发预防/抑制（不是抗麻风菌）,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2eda833b-1357-4ed4-a093-194524fcb061,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
tipiracil,ONCOLOGY,trifluridine/tipiracil复方转移结直肠癌及既往治疗胃/胃食管结合部癌,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f5beed22-d71d-4c0d-8dca-2c7317d65d85,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 此处来源是复方整体适应症，仅作该成分既有临床使用场景；不是该成分单药疗效获批。
torsemide,CARDIOVASCULAR;RENAL_URINARY;GASTROINTESTINAL,心衰、肾病及肝病相关水肿；高血压,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=26a3af16-39fc-482d-8a8e-9473af4b0e3f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1c755d94-b846-4336-a968-aa1b92dc0ac0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=09305350-e317-419c-96f5-aa8fbeb4044d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7fc14338-92e4-cf57-a3e8-ef64d8d1026c,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
triamcinolone,IMMUNE_INFLAMMATORY;DERMATOLOGIC;ENDOCRINE_METABOLIC_REPRODUCTIVE;GASTROINTESTINAL;HEMATOLOGIC;INFECTION;ONCOLOGY;NEURO_PSYCHIATRIC;EYE_ENT;RENAL_URINARY;RESPIRATORY;MUSCULOSKELETAL_CONNECTIVE;CARDIOVASCULAR,多剂型皮肤/过敏、内分泌替代、IBD、血液病、限定感染辅助、白血病/淋巴瘤姑息、MS/脑水肿、眼炎、肾病、肺病及风湿/关节注射；鼻过敏,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a79639b-eb66-e726-e063-6394a90aeb01;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f549f9ea-abc0-4fc2-b6ec-c21182eb26e6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7dbee70b-bd11-4430-b626-97fbb8f01b49;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9e50af36-59f1-4f08-a0d7-7566f0a11034,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 输入标签实际多为triamcinolone acetonide；此为相关制剂临床来源，不能视作未酯化triamcinolone精确结构的单药获批证明。
ulipristal,ENDOCRINE_METABOLIC_REPRODUCTIVE,无保护性交或避孕失败后的紧急避孕，不是常规避孕,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2bf93d23-cddd-4613-9066-5b5fa090404b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e5f09468-7ac8-40ba-a85b-758a32f586c3,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
vaborbactam,INFECTION,meropenem/vaborbactam复方复杂尿路感染含肾盂肾炎,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e237fd0f-3050-42a3-b43e-b6fb4824e93d,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 此处来源是复方整体适应症，仅作该成分既有临床使用场景；不是该成分单药疗效获批。
varenicline,NEURO_PSYCHIATRIC;EYE_ENT,口服戒烟辅助；鼻喷干眼症,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59e125e3-5204-122b-e063-6394a90a0092;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e22e2a6a-66b4-459c-b978-51700e31a1a9;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=014c93dc-5737-479c-a9f0-aaadac1ac298;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8a06d177-0e62-457d-b0c8-47f60a313a1c,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
vigabatrin,NEURO_PSYCHIATRIC,难治复杂部分性癫痫辅助；婴儿痉挛单药,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=93ba3894-fd97-4432-9f2d-e7050371e91f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=082d818a-4f4e-4675-98c6-91db0294e63c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5e5e7554-d0f4-47f7-a434-cc5ca5a9826f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8406bd5a-8887-4579-a11e-5ab449c58963,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
vorinostat,ONCOLOGY,既往系统治疗后进展/持续/复发CTCL皮肤表现,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
zavegepant,NEURO_PSYCHIATRIC,成人偏头痛急性治疗，不计预防,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1191475f-e999-49f4-a805-93ad08596b1b,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
