排序,小分子药物名称,新靶点名称,当前实验建议,需先确认的事项,评价理由,pair_id,A药内排名_384,B药内排名_384,共识Top20组合,至少一个AB药内Top20,安排复核建议_未更改实验表
76,sufentanil,PDGFRA — Platelet-derived growth factor receptor alpha,仍可探索,若要保留只作生化脱靶研究，先证PDGFRA域结合及抑制再评疾病投入。,sufentanil–PDGFRA作为纯生化脱靶可探索；长期息肉治疗价值不能由麻醉用途或图谱直接推出。,GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,123,90,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
77,vaborbactam,CA1 — Carbonic anhydrase 1,仍可探索,确认使用单独vaborbactam而非meropenem复方，先做CA1酶活和干扰检查，再考虑SPR复测。,vaborbactam–CA1文献测试不同硼化合物，仅保留化学启发而非母药实测；纯单体仍可探索。,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL261,8,102,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
78,metoprolol,CA7 — Carbonic anhydrase 7,仍可探索,与该药其他CA候选合并比较优先级，先做小规模酶活；有清晰信号再分配CA7浓度梯度SPR。,metoprolol–CA7缺证据和同药多CA重复只影响资源排序，不构成不能测。,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL2326,2,4,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
79,indacaterol,CA2 — Carbonic anhydrase 2,仍可探索,含锌活性CA2及同工酶反筛。,茚达特罗–CA2属于缺证据的跨酶探索，原β2机制不同不构成反对。,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL205,20,12,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
80,elvitegravir,MAPK8 — Mitogen-activated protein kinase 8,仍可探索,单一艾维雷韦与JNK酶活验证，避免复方归因。,艾维雷韦–JNK1弱近邻与文献缺口没有构成硬反对。,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL2276,102,163,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
81,brexanolone,ESR2 — Estrogen receptor beta,仍可探索,ESR2竞争/报告区分激动拮抗及非特异。,别孕烯醇酮–ESR2可发现新受体机制，产后抑郁重叠只影响跨适应症价值。,AURFZBICLPNKBZ-SYBPFIFISA-N__CHEMBL242,241,121,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
82,bumetanide,FAAH — Fatty-acid amide hydrolase 1,仍可探索,纯FAAH功能独立于利尿表型，AKI获益另判。,布美他尼–FAAH未有直连，利尿不等于肾保护但也不否定新结合。,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2243,99,198,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
83,selegiline,ACE — Angiotensin-converting enzyme,仍可探索,纯ACE酶活可探索，疾病方向另证。,司来吉兰ACE药合用不是ACE作用，精神疾病遗传关联也非直接绑定证据。,MEZLKOACVSPNER-GFCCVEGCSA-N__CHEMBL1808,146,254,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
84,tizanidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,纯GSK3A功能验证。,替扎尼定–GSK3A属于文献缺口，较近阴性邻居与α2机制不同均非硬反证。,XFYDIVBRZNQMJC-UHFFFAOYSA-N__CHEMBL2850,93,147,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
85,pitavastatin,MMP12 — Macrophage metalloelastase,仍可探索,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。,pitavastatin–MMP12不能挪用Mcl-1的SPR，移除误支持后仍是可测未知配对。,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,42,43,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
86,lasmiditan,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。,lasmiditan–NTRK2没有直接文献不是反证，可在现有TrkB体系探索。,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,125,202,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
87,glimepiride,CA4 — Carbonic anhydrase 4,仍可探索,CA4活性构建、CA1/2选择性及SPR互证。,格列美脲–CA4虽不能凭磺酰脲结构推断抑制，仍可检验新机制。,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL3729,189,41,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
88,aprepitant,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,仍可探索,检测阿瑞匹坦本体；不用福沙匹坦代替。,阿瑞匹坦–HMGCR证据薄但可探索，止吐用途和CYP相互作用均非反证。,ATALOFNDEOCMKK-OITMNORJSA-N__CHEMBL402,82,156,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
89,vaborbactam,MME — Neprilysin,仍可探索,单成分MME功能与金属酶反筛。,伐硼巴坦–MME没有直接支持，但细菌酶机制不同不该作为禁止探索理由。,IOOWNWLVCOUUEX-WPRPVWTQSA-N__CHEMBL1944,26,92,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
90,memantine,NR3C2 — Mineralocorticoid receptor,仍可探索,竞争/报告测方向，不把合并节点当特定病预测。,美金刚–MR可作受体机制探索；合并心血管疾病节点只限制用途解释。,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1994,22,10,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
91,sotalol,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,明确ALDH2参考物、辅因子及活性方向，优先用酶学筛查后决定SPR。,sotalol–ALDH2可探索直接酶作用，卒中意义需区分激活和抑制，不自动从疾病关联推出。,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1935,180,86,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
92,enasidenib,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,先查具体BRAF构建与配对活性，若只见下游通路变化则不升级。,enasidenib–BRAF阴性近邻更近不是本药阴性，白血病方向薄弱也不阻止纯激酶探索。,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,67,234,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
93,desoximetasone,PRKCB — Protein kinase C beta type,仍可探索,先用域匹配PKCβ活性检测寻找可重复线索，只有直接效应才增加SPR投入。,desoximetasone–PRKCB原皮肤用途附近的新机制仍可研究，同领域及近邻弱不构成硬排除。,VWVSBHGCDBMOOT-IIEHVVJPSA-N__CHEMBL3045,39,244,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
94,nimodipine,CA12 — Carbonic anhydrase 12,仍可探索,CA12活性/溶解性合格即可探索。,尼莫地平–CA12没有本药直接数据，其他CA化合物论文与原机制差异均非硬反对。,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3242,9,1,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
95,thalidomide,CDK9 — Cyclin-dependent kinase 9,仍可探索,仅接受纯沙利度胺CDK9生化结果，重审近邻来源。,THAL-SNS-032的CDK9端属于SNS-032，不能转给沙利度胺；去除错误支持后仍可探索。,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL3116,312,36,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
96,binimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,单药PARP2酶活，不用组合效果作证据。,比美替尼联合研究中的PARP药是他拉唑帕尼，不能据此断言PARP2命中或阴性。,ACWZRVQXLIRSDF-UHFFFAOYSA-N__CHEMBL5366,259,247,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
97,ticagrelor,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,纯PDE9A作用与P2Y12/ENT1分离。,替格瑞洛–PDE9A属于新靶点探索，卒中用途重叠只影响新适应症价值。,OEKWJQXRCDYSHL-FNOIDJSQSA-N__CHEMBL3535,47,12,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
98,ixabepilone,PRKCB — Protein kinase C beta type,仍可探索,纯PRKCB功能后再解释AML细胞效应。,伊沙匹隆–PRKCB缺直接数据，微管细胞毒性既不能证明也不能否定激酶结合。,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,99,77,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
99,lumateperone,ACHE — Acetylcholinesterase,仍可探索,ACHE功能及光学干扰对照。,卢美哌隆–ACHE原抑郁用途重叠不影响新机制探索，低毒蕈碱亲和不是ACHE阴性。,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL220,66,278,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
100,alprazolam,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,成熟GSK3A体系探索，独立于镇静表型。,阿普唑仑–GSK3A缺直连，镇静机制和MDD共现不应决定纯蛋白结合。,VREFGVBLTWBCJP-UHFFFAOYSA-N__CHEMBL2850,165,119,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
101,indacaterol,JAK1 — Tyrosine-protein kinase JAK1,仍可探索,优先查原安全panel，匹配JAK1域直接结合/酶活阳性才升级。,indacaterol–JAK1联用专利并非直接依据；移除共现后仍是未知配对，可探索。,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835,209,109,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
102,rimegepant,JAK2 — Tyrosine-protein kinase JAK2,仍可探索,核JAK2构建，先直接结合再功能；不移用其他JAK亚型细胞结论。,rimegepant–JAK2的JAK3下游变化不能跨亚型证明结合，暂无直接反证。,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971,94,58,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
103,arformoterol,MMP12 — Macrophage metalloelastase,仍可探索,已有MMP12体系才候补，先核单一异构体及酶活而非支气管舒张效应。,arformoterol–MMP12不能用COPD共现当抑酶证据，单一异构体配对仍可探索。,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393,199,330,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
104,carbinoxamine,FAAH — Fatty-acid amide hydrolase 1,仍可探索,在成熟FAAH体系下先检测酶活并校正非特异效应，不因咽炎图谱分高直接做梯度。,carbinoxamine–FAAH咽炎与H1背景未证明FAAH，但新靶点酶学可直接检验。,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243,129,283,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
105,ranolazine,KDR — Vascular endothelial growth factor receptor 2,仍可探索,只在KDR激酶域和对照已测通时保留，SPR后核对酶活及具体疾病细胞依赖。,ranolazine–KDR缺独立结合依据，仍可在成熟KDR体系探索，疾病排名不作阳性保证。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279,182,13,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
106,tetracaine,CTSC — Dipeptidyl peptidase 1,仍可探索,成熟CTSC与功能对照，控制非特异吸附。,丁卡因–CTSC是支持弱的新机制假说，阴性近邻略近不等于该配对阴性。,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,227,97,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
107,cyclobenzaprine,MAOB — Amine oxidase [flavin-containing] B,仍可探索,MAOB/MAOA功能并行，独立于相互作用标签。,环苯扎林MAOI禁忌和醛氧化酶资料不能支持MAOB；纠正后仍可探索。,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039,322,102,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
108,piperacillin,MME — Neprilysin,仍可探索,纯母药稳定性与成熟MME功能确认。,哌拉西林–MME细菌原靶点与人酶不同仍可探索新机制。,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944,30,19,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
109,lisinopril,NR3C2 — Mineralocorticoid receptor,仍可探索,已有MR-LBD体系才追加，竞争及功能必须独立确认。,lisinopril–NR3C2的ACE/MR联用不能证结合，依然是可探索的直接受体假说。,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994,4,20,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
110,varenicline,ESRRG — Estrogen-related receptor gamma,仍可探索,使用ERRγ域和专用对照，先功能/竞争检测；无配对线索时不优先开发体系。,varenicline–ESRRG属于ERRγ未知作用，使用专用受体对照即可探索，不以ER类比保证阳性。,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245,105,177,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
111,bazedoxifene,THRB — Thyroid hormone receptor beta,仍可探索,单成分THRB/THRA竞争及报告，纠正证据归属。,巴多昔芬ERβ和结合球蛋白变化均不是THRB证据，但也不否定THRB探索。,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947,297,118,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
112,talazoparib,MET — Hepatocyte growth factor receptor,仍可探索,纯MET功能与PARP效应分离。,他拉唑帕尼–MET缺直接支持但可探索新激酶机制，泛癌重叠不是结合反证。,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717,41,71,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
113,relebactam,MMP8 — Neutrophil collagenase,仍可探索,单成分成熟MMP8与金属反筛。,瑞来巴坦抗菌复方用途不是MMP8作用，但不排除宿主酶新机制。,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588,3,2,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
114,elvitegravir,ERBB2 — Receptor tyrosine-protein kinase erbB-2,仍可探索,确认纯elvitegravir而非复方及ERBB2激酶域，已有体系才补测。,elvitegravir–ERBB2缺实测仅是知识缺口；使用纯药而非复方是常规解释要求。,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824,213,298,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
115,ivabradine,FGFR2 — Fibroblast growth factor receptor 2,仍可探索,先找FGFR2直接证据，若已有蛋白则少量侦察并复核激酶功能。,ivabradine–FGFR2没有直接证据与较弱近邻不代表不可能，已有体系可以侦察。,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142,65,56,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
116,cilastatin,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,精确单体核对后，仅在PPARG体系成熟时候补；功能方向与鼻窦炎价值另证。,cilastatin–PPARG不能由复方抗感染或表格并列推直接作用，单体受体探索仍成立。,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235,96,207,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
117,vibegron,NR3C2 — Mineralocorticoid receptor,仍可探索,用MR配体结合域匹配对照；若SPR可重复，再以转录报告确定方向。,vibegron–NR3C2可探索未知MR作用，心衰方向在结合后用转录功能确认。,DJXRIQMCROIRCZ-XOEOCAAJSA-N__CHEMBL1994,143,13,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
118,palbociclib,REN — Renin,仍可探索,先用肾素底物活性读出寻找作用，排除仅CDK通路解释后再升级。,palbociclib–REN与RAAS联用不是肾素抑制证据，但没有直接反证，酶活探索可行。,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL286,107,47,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
119,ondansetron,FAAH — Fatty-acid amide hydrolase 1,仍可探索,单药FAAH功能与构建对照，独立定义疾病终点。,昂丹司琼在FAAH专利合用列表不是直连，但不足以否定FAAH探索；感冒方向另核。,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,47,70,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
120,glimepiride,REN — Renin,仍可探索,纯化REN及已知抑制剂对照验证。,格列美脲肾血流研究不证明REN直接作用，也不排除新肾素机制。,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL286,35,125,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
121,anastrozole,ALK — ALK tyrosine kinase receptor,仍可探索,先核对ALK野生型/融合构建及酶活线索，只有直接效应才安排梯度。,anastrozole–ALK缺配对资料且阴性近邻略近，仍非直接反证，可在匹配ALK构建探索。,YBBLVLTVTVSKRW-UHFFFAOYSA-N__CHEMBL4247,271,93,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
122,tapinarof,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,仍可探索,纯ALOX5脂质产物与SPR互证。,他匹那罗–ALOX5可作炎症新机制探索，AHR/FLAP及细胞效应不能充当纯酶证据。,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL215,341,30,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
123,benoxinate,DHFR — Dihydrofolate reductase,仍可探索,明确人DHFR/NADPH测定，疾病获益另证。,奥布卡因–DHFR无直接线索，局麻与葡萄膜炎不同不阻止纯结合探索。,CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL202,231,52,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
124,donepezil,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,纯PDE9A功能与AChE作用分开。,多奈哌齐多靶点/合用资料不是母药PDE9A证据，仍可探索独立机制。,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL3535,118,376,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
125,dextromethorphan,CTSC — Dipeptidyl peptidase 1,仍可探索,纯母药而非右啡烷，成熟CTSC功能验证。,右美沙芬镇咳不能证明CTSC改变病程，也不否定其二元结合。,MKXZASYAUGDDCJ-NJAFHUGGSA-N__CHEMBL2252,88,115,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
126,mirdametinib,DHFR — Dihydrofolate reductase,仍可探索,人DHFR/NADPH功能和干扰对照。,米达美替尼–DHFR原MEK机制与新酶不同只是探索问题，暂无直接阴性。,SUDAHWBOROXANE-SECBINFHSA-N__CHEMBL202,94,120,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
127,apremilast,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,JAK3与PDE4功能分开记录。,阿普米司特–JAK3可检验额外激酶机制，共同抗炎不证明但也不排除。,IMOZEMNVLZVGJZ-QGZVFWFLSA-N__CHEMBL2148,13,168,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
128,cabotegravir,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,PDE4D cAMP水解和构建合格即可探索。,卡博特韦–PDE4D属于无直接资料的新机制，整合酶原靶点不同不该硬性后置。,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL288,51,202,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
129,ivosidenib,GSK3B — Glycogen synthase kinase-3 beta,仍可探索,GSK3B功能及实际溶解性确认，IDH1作用分开。,艾伏尼布–GSK3B是无直接资料的新酶假说，癌症内拓展与近邻相近不构成硬否定。,WIJZXSAJMHAVGX-DHLKQENFSA-N__CHEMBL262,251,375,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
130,pregabalin,ENPEP — Glutamyl aminopeptidase,仍可探索,若ENPEP已有活性体系可候补，先测氨肽酶活性，确认结合再升级。,pregabalin–ENPEP无直接证据，可以探索；同药多条降压链不能当多次验证。,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL3439,38,216,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
131,rasagiline,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,先酶活区分抑制、激活或伴侣效应；阳性后核具体GBA1变体，不能直接外推Gaucher亚型。,rasagiline–GBA1患者用药不证明酶作用，仍可测试激活/抑制/伴侣机制并区分变体。,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL2179,142,46,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
132,vorinostat,ECE1 — Endothelin-converting enzyme 1,仍可探索,先核对ECE1催化构建与金属条件，配套酶活及其他金属酶反筛解释SPR信号。,vorinostat–ECE1有金属酶跨家族探索问题，HDAC药理不可直接迁移，常规金属反筛可补解释。,WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL4791,116,110,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
133,palonosetron,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,用真正FKBP12竞争/功能实验探索。,帕洛诺司琼晶体中的AChBP不是FKBP12；这是误用证据而非本药FKBP阴性。,CPZBLNMUGSZIPR-NVXWUHKLSA-N__CHEMBL1902,134,100,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
134,apixaban,CA4 — Carbonic anhydrase 4,仍可探索,含锌CA4功能对照，偏头痛方向另核。,阿哌沙班–CA4无直接证据，Xa机制不同不构成反对。,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL3729,138,223,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
135,pomalidomide,NTRK2 — BDNF/NT-3 growth factors receptor,仍可探索,纯母药NTRK2生化测定，近邻连接分子不转效力。,泊马度胺CRBN募集不能证明NTRK2结合，纠正归因后暂无硬反对。,UVSMNLNDYGZFPF-UHFFFAOYSA-N__CHEMBL4898,150,71,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
136,pramipexole,CA2 — Carbonic anhydrase 2,仍可探索,含锌CA2和参考物支持下探索。,普拉克索–CA2近邻偏阴性及多巴胺机制不够构成母药CA2反证。,FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,20,1,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
137,enzalutamide,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,指定BRAF构建纯酶检验，AR作用和联用协同分开。,恩扎卢胺耐药时BRAF通路激活和联用不证明本药抑制BRAF，也不否定额外绑定。,WXCXUHSOUPDCQV-UHFFFAOYSA-N__CHEMBL5145,29,62,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
138,donepezil,COMT — Catechol O-methyltransferase,仍可探索,明确COMT可溶/膜型、SAM条件，纯功能探索。,多奈哌齐COMT基因关联非结合试验，校正不显著也不是直接酶阴性。,ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL2023,140,66,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
139,memantine,AR — Androgen receptor,仍可探索,仅在AR成熟体系中低成本侦察，先证直接结合与功能方向。,memantine–AR的NMDAR癌症研究不是AR证据，但弱近邻与缺文献不是硬反对。,BUGYDGFZZOZRHP-UHFFFAOYSA-N__CHEMBL1871,34,3,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
140,amantadine,GBA1 — Lysosomal acid glucosylceramidase,仍可探索,先找直接酶效应，若做需区分野生型/变体及活性方向。,amantadine–GBA1基因携带者服药并非作用证明；直接酶活探索可弥补该缺口。,DKNWSYNQZKUICI-UHFFFAOYSA-N__CHEMBL2179,34,204,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
141,labetalol,CA1 — Carbonic anhydrase 1,仍可探索,在CA1参考对照测通后小规模初筛，并与CA2/CA7比较；信号缺乏选择性则后置。,labetalol–CA1邻药活性不能代替本药，未知关系仍可在CA平台探索。,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL261,285,61,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
142,xanomeline,CA4 — Carbonic anhydrase 4,仍可探索,单一呫诺美林、CA4/CA2对照，不用复方替代。,呫诺美林–CA4缺直接证据但仍可检验新机制。,JOLJIIDDOBNFHW-UHFFFAOYSA-N__CHEMBL3729,26,70,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
143,glimepiride,MME — Neprilysin,仍可探索,MME活性与SPR互证，和REN假说独立记录。,格列美脲–MME弱证据和代谢关联不足以支持优先，却不构成不能测。,WIGIZIANZCJQQY-RUCARUNLSA-N__CHEMBL1944,83,64,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
144,pitavastatin,MME — Neprilysin,仍可探索,纯MME测定区分新机制与降脂间接效应。,匹伐他汀动物心血管表型不是MME直连，原领域重叠仅影响新颖性。,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL1944,48,3,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
145,afatinib,REN — Renin,仍可探索,纯REN功能和非特异蛋白对照，转化耐受另评。,阿法替尼–REN未检得直接作用，ErbB原机制不同及药代资料不足都非直接反证。,ULXXDDBFHOBEHA-CWDCEQMOSA-N__CHEMBL286,381,57,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
146,metoclopramide,CA4 — Carbonic anhydrase 4,仍可探索,测纯母药及明确物种CA4。,甲氧氯普胺衍生物CA证据不证明母药CA4，亦不否定母药。,TTWJBBZEZQICBI-UHFFFAOYSA-N__CHEMBL3729,20,54,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
147,rasagiline,ACE — Angiotensin-converting enzyme,仍可探索,纯ACE而非ACE2，作用方向另证。,雷沙吉兰ACE2表达和ACE药合用不是ACE直连，纠正来源后仍可测。,RUOKEQAAGRXIBM-GFCCVEGCSA-N__CHEMBL1808,74,328,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
148,lofexidine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,GSK3A/B功能并行和原受体作用分离。,洛非西定–GSK3A是弱支持新机制，α2原机制差异不构成反对。,KSMAGQUYOIHWFS-UHFFFAOYSA-N__CHEMBL2850,136,187,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
149,lenalidomide,PRKCB — Protein kinase C beta type,仍可探索,纯PRKCB测母药，细胞实验另作CRBN依赖控制。,来那度胺PRKCB网络或表达变化不是直接结合，不能据此否定额外激酶作用。,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL3045,129,227,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
150,terazosin,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",仍可探索,确认terazosin精确结构及PI3Kα催化/调节构建；阳性后补脂质激酶活性，另界定疾病意义。,terazosin–PIK3CA的tersolisib同名近似命中应丢弃，但尚未发现母药反证，可探索。,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,91,227,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
151,bupivacaine,MMP12 — Macrophage metalloelastase,仍可探索,已有MMP12体系可候补，核药物异构体与非特异吸附，结合需酶活复核。,bupivacaine–MMP12主要是直接关系未知，可以做结合及酶活探索。,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL4393,26,236,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
152,pregabalin,REN — Renin,仍可探索,已有成熟活性肾素体系才候补，先低成本酶活。,pregabalin–REN联用RAS药不能证明抑制肾素，也不证明无作用，适合酶活侦察。,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,81,61,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
153,rilpivirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,先以JNK1/JNK2活性小面板区分，再选择一个有重复效应的构建做梯度。,rilpivirine–MAPK9直接证据不足但可探索，与MAPK8共用酶学节省资源不代表两者都不可能。,YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL4179,84,212,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
