排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
99,P1 前10排名且仍可探索,C384-330,lumateperone,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; Sodium-dependent serotonin transporter,ACHE — Acetylcholinesterase,HUPERZINE A,CTRL-043,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,ACHE功能及光学干扰对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL220,CHEMBL395280,ZRJBHWIHUMBLCN-YQEJDHNASA-N
100,P1 前10排名且仍可探索,C384-331,alprazolam,GABA-A receptor; anion channel,GSK3A — Glycogen synthase kinase-3 alpha,ABEMACICLIB,CTRL-066,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,成熟GSK3A体系探索，独立于镇静表型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VREFGVBLTWBCJP-UHFFFAOYSA-N,CHEMBL2850,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N
101,P2 第11–20排名且仍可探索,C384-043,indacaterol,Beta-2 adrenergic receptor,JAK1 — Tyrosine-protein kinase JAK1,CRAVACITINIB,CTRL-064,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；冻结来源未匹配到此精确实体的原始活动，须先复核,仍可探索,优先查原安全panel，匹配JAK1域直接结合/酶活阳性才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL2835,CHEMBL4596392,BZZKEPGENYLQSC-UHFFFAOYSA-N
102,P2 第11–20排名且仍可探索,C384-044,rimegepant,Calcitonin gene-related peptide type 1 receptor,JAK2 — Tyrosine-protein kinase JAK2,RUXOLITINIB,CTRL-069,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,核JAK2构建，先直接结合再功能；不移用其他JAK亚型细胞结论。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL2971,CHEMBL1789941,HFNKQEVNSGCOJV-OAHLLOKOSA-N
103,P2 第11–20排名且仍可探索,C384-045,arformoterol,Beta-2 adrenergic receptor,MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,已有MMP12体系才候补，先核单一异构体及酶活而非支气管舒张效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
104,P2 第11–20排名且仍可探索,C384-138,carbinoxamine,Histamine H1 receptor,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,在成熟FAAH体系下先检测酶活并校正非特异效应，不因咽炎图谱分高直接做梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
105,P2 第11–20排名且仍可探索,C384-139,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,KDR — Vascular endothelial growth factor receptor 2,LINIFANIB,CTRL-060,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,只在KDR激酶域和对照已测通时保留，SPR后核对酶活及具体疾病细胞依赖。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL279,CHEMBL223360,MPVGZUGXCQEXTM-UHFFFAOYSA-N
106,P2 第11–20排名且仍可探索,C384-227,tetracaine,Sodium channel alpha subunit,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,成熟CTSC与功能对照，控制非特异吸附。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GKCBAIGFKIBETG-UHFFFAOYSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
107,P2 第11–20排名且仍可探索,C384-228,cyclobenzaprine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,MAOB/MAOA功能并行，独立于相互作用标签。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JURKNVYFZMSNLP-UHFFFAOYSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
108,P2 第11–20排名且仍可探索,C384-277,piperacillin,Bacterial penicillin-binding protein,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,纯母药稳定性与成熟MME功能确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
109,P2 第11–20排名且仍可探索,C384-111,lisinopril,Angiotensin-converting enzyme,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,已有MR-LBD体系才追加，竞争及功能必须独立确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
110,P2 第11–20排名且仍可探索,C384-169,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,ESRRG — Estrogen-related receptor gamma,BISPHENOL A,CTRL-094,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,使用ERRγ域和专用对照，先功能/竞争检测；无配对线索时不优先开发体系。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL4245,CHEMBL418971,IISBACLAFKSPIT-UHFFFAOYSA-N
111,P2 第11–20排名且仍可探索,C384-218,bazedoxifene,Estrogen receptor,THRB — Thyroid hormone receptor beta,LIOTHYRONINE,CTRL-017,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,单成分THRB/THRA竞争及报告，纠正证据归属。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UCJGJABZCDBEDK-UHFFFAOYSA-N,CHEMBL1947,CHEMBL1544,AUYYCJSJGJYCDS-LBPRGKRZSA-N
112,P2 第11–20排名且仍可探索,C384-334,talazoparib,Poly [ADP-ribose] polymerase 1; Poly [ADP-ribose] polymerase 2,MET — Hepatocyte growth factor receptor,TEPOTINIB,CTRL-083,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯MET功能与PARP效应分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,CHEMBL3717,CHEMBL3402762,AHYMHWXQRWRBKT-UHFFFAOYSA-N
113,P2 第11–20排名且仍可探索,C384-335,relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP8 — Neutrophil collagenase,CIPEMASTAT,CTRL-101,Ki,仅Ki记录，需先确认SPR结合适用性,仍可探索,单成分成熟MMP8与金属反筛。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL4588,CHEMBL115653,GFUITADOEPNRML-SJORKVTESA-N
114,P2 第11–20排名且仍可探索,C384-046,elvitegravir,Human immunodeficiency virus type 1 integrase,ERBB2 — Receptor tyrosine-protein kinase erbB-2,IBRUTINIB,CTRL-003,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认纯elvitegravir而非复方及ERBB2激酶域，已有体系才补测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JUZYLCPPVHEVSV-LJQANCHMSA-N,CHEMBL1824,CHEMBL1873475,XYFPWWZEPKGCCK-GOSISDBHSA-N
115,P2 第11–20排名且仍可探索,C384-047,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,FGFR2 — Fibroblast growth factor receptor 2,FEXAGRATINIB,CTRL-092,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先找FGFR2直接证据，若已有蛋白则少量侦察并复核激酶功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL4142,CHEMBL3348846,VRQMAABPASPXMW-HDICACEKSA-N
116,P2 第11–20排名且仍可探索,C384-048,cilastatin,Dipeptidase 1,PPARG — Peroxisome proliferator-activated receptor gamma,REVERSE TRIIODOTHYRONINE,CTRL-050,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,精确单体核对后，仅在PPARG体系成熟时候补；功能方向与鼻窦炎价值另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DHSUYTOATWAVLW-WFVMDLQDSA-N,CHEMBL235,CHEMBL1743304,HZCBWYNLGPIQRK-LBPRGKRZSA-N
117,P2 第11–20排名且仍可探索,C384-142,vibegron,Beta-3 adrenergic receptor,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,用MR配体结合域匹配对照；若SPR可重复，再以转录报告确定方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DJXRIQMCROIRCZ-XOEOCAAJSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
118,P2 第11–20排名且仍可探索,C384-143,palbociclib,CDK6/cyclin D1; Cyclin-dependent kinase 4/cyclin D1,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,先用肾素底物活性读出寻找作用，排除仅CDK通路解释后再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AHJRHEGDXFFMBM-UHFFFAOYSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
119,P2 第11–20排名且仍可探索,C384-230,ondansetron,5-hydroxytryptamine receptor 3A,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,单药FAAH功能与构建对照，独立定义疾病终点。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FELGMEQIXOGIFQ-UHFFFAOYSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
120,P2 第11–20排名且仍可探索,C384-232,glimepiride,"Sulfonylurea receptor 1, Kir6.2",REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯化REN及已知抑制剂对照验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WIGIZIANZCJQQY-RUCARUNLSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
121,P2 第11–20排名且仍可探索,C384-170,anastrozole,Aromatase,ALK — ALK tyrosine kinase receptor,STAUROSPORINE,CTRL-095,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核对ALK野生型/融合构建及酶活线索，只有直接效应才安排梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YBBLVLTVTVSKRW-UHFFFAOYSA-N,CHEMBL4247,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
122,P2 第11–20排名且仍可探索,C384-293,tapinarof,Aryl hydrocarbon receptor,ALOX5 — Polyunsaturated fatty acid 5-lipoxygenase,研究化合物 CHEMBL3113617（无通用名称）,CTRL-040,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,纯ALOX5脂质产物与SPR互证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZISJNXNHJRQYJO-CMDGGOBGSA-N,CHEMBL215,CHEMBL3113617,RFZWCDJCCQBGPO-UHFFFAOYSA-N
123,P2 第11–20排名且仍可探索,C384-294,benoxinate,Sodium channel alpha subunit,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,明确人DHFR/NADPH测定，疾病获益另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CMHHMUWAYWTMGS-UHFFFAOYSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
124,P2 第11–20排名且仍可探索,C384-295,donepezil,Acetylcholinesterase,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",研究化合物 CHEMBL5810180（无通用名称）,CTRL-081,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,纯PDE9A功能与AChE作用分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL3535,CHEMBL5810180,FEPNMKDMRNRDPJ-APHBMKBZSA-N
125,P2 第11–20排名且仍可探索,C384-336,dextromethorphan,"Glutamate receptor ionotropic, NMDA 2A; Sigma non-opioid intracellular receptor 1",CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯母药而非右啡烷，成熟CTSC功能验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MKXZASYAUGDDCJ-NJAFHUGGSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
126,P2 第11–20排名且仍可探索,C384-337,mirdametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,人DHFR/NADPH功能和干扰对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SUDAHWBOROXANE-SECBINFHSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
127,P2 第11–20排名且仍可探索,C384-338,apremilast,Phosphodiesterase 4,JAK3 — Tyrosine-protein kinase JAK3,STAUROSPORINE,CTRL-039,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,JAK3与PDE4功能分开记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,IMOZEMNVLZVGJZ-QGZVFWFLSA-N,CHEMBL2148,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
128,P2 第11–20排名且仍可探索,C384-364,cabotegravir,Human immunodeficiency virus type 1 integrase,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",ROLIPRAM,CTRL-068,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,PDE4D cAMP水解和构建合格即可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL288,CHEMBL63,HJORMJIFDVBMOB-UHFFFAOYSA-N
129,P2 第11–20排名且仍可探索,C384-383,ivosidenib,Isocitrate dehydrogenase [NADP] cytoplasmic,GSK3B — Glycogen synthase kinase-3 beta,STAUROSPORINE,CTRL-056,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,GSK3B功能及实际溶解性确认，IDH1作用分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WIJZXSAJMHAVGX-DHLKQENFSA-N,CHEMBL262,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
130,P2 第11–20排名且仍可探索,C384-049,pregabalin,Voltage-gated calcium channel,ENPEP — Glutamyl aminopeptidase,研究化合物 CHEMBL4217064（无通用名称）,CTRL-079,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,若ENPEP已有活性体系可候补，先测氨肽酶活性，确认结合再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL3439,CHEMBL4217064,DVQGHYMQIXFLEX-RLDOYHLOSA-N
131,P2 第11–20排名且仍可探索,C384-051,rasagiline,Amine oxidase [flavin-containing] B,GBA1 — Lysosomal acid glucosylceramidase,研究化合物 CHEMBL5951426（无通用名称）,CTRL-041,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,先酶活区分抑制、激活或伴侣效应；阳性后核具体GBA1变体，不能直接外推Gaucher亚型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RUOKEQAAGRXIBM-GFCCVEGCSA-N,CHEMBL2179,CHEMBL5951426,VIPLIVNKNZODIT-UHFFFAOYSA-O
132,P2 第11–20排名且仍可探索,C384-145,vorinostat,Histone deacetylase 1; Histone deacetylase 2; Histone deacetylase 3; Protein deacetylase HDAC6,ECE1 — Endothelin-converting enzyme 1,研究化合物 CHEMBL571153（无通用名称）,CTRL-102,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,仍可探索,先核对ECE1催化构建与金属条件，配套酶活及其他金属酶反筛解释SPR信号。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WAEXFXRVDQXREF-UHFFFAOYSA-N,CHEMBL4791,CHEMBL571153,WWTBZEKOSBFBEM-SPWPXUSOSA-N
133,P2 第11–20排名且仍可探索,C384-234,palonosetron,5-hydroxytryptamine receptor 3A,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,用真正FKBP12竞争/功能实验探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CPZBLNMUGSZIPR-NVXWUHKLSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
134,P2 第11–20排名且仍可探索,C384-272,apixaban,Coagulation factor X,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,含锌CA4功能对照，偏头痛方向另核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QNZCBYKSOIHPEH-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
135,P2 第11–20排名且仍可探索,C384-296,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,NTRK2 — BDNF/NT-3 growth factors receptor,STAUROSPORINE,CTRL-105,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯母药NTRK2生化测定，近邻连接分子不转效力。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UVSMNLNDYGZFPF-UHFFFAOYSA-N,CHEMBL4898,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
136,P2 第11–20排名且仍可探索,C384-339,pramipexole,D2-like dopamine receptor,CA2 — Carbonic anhydrase 2,DORZOLAMIDE,CTRL-033,"Ki,Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,含锌CA2和参考物支持下探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FASDKYOPVNHBLU-ZETCQYMHSA-N,CHEMBL205,CHEMBL218490,IAVUPMFITXYVAF-XPUUQOCRSA-N
137,P2 第11–20排名且仍可探索,C384-367,enzalutamide,Androgen receptor,BRAF — Serine/threonine-protein kinase B-raf,SB590885,CTRL-107,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,指定BRAF构建纯酶检验，AR作用和联用协同分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WXCXUHSOUPDCQV-UHFFFAOYSA-N,CHEMBL5145,CHEMBL477989,MLSAQOINCGAULQ-QFMPWRQOSA-N
138,P2 第11–20排名且仍可探索,C384-368,donepezil,Acetylcholinesterase,COMT — Catechol O-methyltransferase,研究化合物 CHEMBL5653589（无通用名称）,CTRL-029,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,明确COMT可溶/膜型、SAM条件，纯功能探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ADEBPBSSDYVVLD-UHFFFAOYSA-N,CHEMBL2023,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N
139,P2 第11–20排名且仍可探索,C384-052,memantine,Glutamate [NMDA] receptor,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,仅在AR成熟体系中低成本侦察，先证直接结合与功能方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
140,P2 第11–20排名且仍可探索,C384-053,amantadine,Glutamate [NMDA] receptor; Matrix protein 2,GBA1 — Lysosomal acid glucosylceramidase,研究化合物 CHEMBL5951426（无通用名称）,CTRL-041,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,先找直接酶效应，若做需区分野生型/变体及活性方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DKNWSYNQZKUICI-UHFFFAOYSA-N,CHEMBL2179,CHEMBL5951426,VIPLIVNKNZODIT-UHFFFAOYSA-O
141,P2 第11–20排名且仍可探索,C384-146,labetalol,Adrenergic receptor,CA1 — Carbonic anhydrase 1,ETHOXZOLAMIDE,CTRL-055,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,在CA1参考对照测通后小规模初筛，并与CA2/CA7比较；信号缺乏选择性则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL261,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
142,P2 第11–20排名且仍可探索,C384-236,xanomeline,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M4,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,单一呫诺美林、CA4/CA2对照，不用复方替代。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JOLJIIDDOBNFHW-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
143,P2 第11–20排名且仍可探索,C384-237,glimepiride,"Sulfonylurea receptor 1, Kir6.2",MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,MME活性与SPR互证，和REN假说独立记录。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WIGIZIANZCJQQY-RUCARUNLSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
144,P2 第11–20排名且仍可探索,C384-238,pitavastatin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,纯MME测定区分新机制与降脂间接效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VGYFMXBACGZSIL-MCBHFWOFSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
145,P2 第11–20排名且仍可探索,C384-240,afatinib,Epidermal growth factor receptor; Receptor tyrosine-protein kinase erbB-2; Receptor tyrosine-protein kinase erbB-4,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯REN功能和非特异蛋白对照，转化耐受另评。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ULXXDDBFHOBEHA-CWDCEQMOSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
146,P2 第11–20排名且仍可探索,C384-273,metoclopramide,5-hydroxytryptamine receptor 3A; 5-hydroxytryptamine receptor 4; D(2) dopamine receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,测纯母药及明确物种CA4。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,TTWJBBZEZQICBI-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
147,P2 第11–20排名且仍可探索,C384-369,rasagiline,Amine oxidase [flavin-containing] B,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯ACE而非ACE2，作用方向另证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RUOKEQAAGRXIBM-GFCCVEGCSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
148,P2 第11–20排名且仍可探索,C384-370,lofexidine,Adrenergic receptor alpha-2,GSK3A — Glycogen synthase kinase-3 alpha,ABEMACICLIB,CTRL-066,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,GSK3A/B功能并行和原受体作用分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KSMAGQUYOIHWFS-UHFFFAOYSA-N,CHEMBL2850,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N
149,P2 第11–20排名且仍可探索,C384-371,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,PRKCB — Protein kinase C beta type,ENZASTAURIN,CTRL-071,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯PRKCB测母药，细胞实验另作CRBN依赖控制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL3045,CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N
150,P2 第11–20排名且仍可探索,C384-018,terazosin,Adrenergic receptor alpha-1,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",WORTMANNIN,CTRL-089,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认terazosin精确结构及PI3Kα催化/调节构建；阳性后补脂质激酶活性，另界定疾病意义。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VCKUSRYTPJJLNI-UHFFFAOYSA-N,CHEMBL4005,CHEMBL428496,QDLHCMPXEPAAMD-QAIWCSMKSA-N
